DType,Input,Output,BS,HiddenSize,HeadsQ,HeadsKV,InterSize,WithGate,Experts,Layers,KVCacheBucket,Prefill(ms),DecodeMin(ms),DecodeMax(ms),DecodeAvg(ms),Latency(ms),Throughput(tokens/sec)
BF16,512,512,1,4096,32,32,11008,True,1,32,256,17.83,6.01,6.07,6.04,6.06,165.02
BF16,512,512,2,4096,32,32,11008,True,1,32,256,30.4,6.21,6.35,6.28,6.33,315.96
BF16,512,512,4,4096,32,32,11008,True,1,32,256,55.54,6.62,6.89,6.76,6.85,583.94
BF16,512,512,8,4096,32,32,11008,True,1,32,256,105.82,7.44,7.98,7.71,7.9,1012.66
BF16,512,512,16,4096,32,32,11008,True,1,32,256,206.38,9.08,10.16,9.62,10.01,1598.4
BF16,512,512,32,4096,32,32,11008,True,1,32,256,407.49,12.36,14.53,13.44,14.21,2251.94
BF16,512,512,64,4096,32,32,11008,True,1,32,256,809.72,18.92,23.25,21.08,22.62,2829.35
BF16,512,512,128,4096,32,32,11008,True,1,32,256,1614.18,32.05,40.7,36.37,39.45,3244.61
BF16,512,512,256,4096,32,32,11008,True,1,32,256,3223.09,60.97,78.29,69.61,75.77,3378.65
BF16,512,512,512,4096,32,32,11008,True,1,32,256,6440.91,120.68,155.3,137.95,150.27,3407.2
,,,,,,,,,,,,,,,,,
BF16,1024,512,1,4096,32,32,11008,True,1,32,256,32.15,6.14,6.21,6.18,6.23,160.51
BF16,1024,512,2,4096,32,32,11008,True,1,32,256,59.04,6.48,6.62,6.55,6.65,300.75
BF16,1024,512,4,4096,32,32,11008,True,1,32,256,112.81,7.16,7.43,7.3,7.5,533.33
BF16,1024,512,8,4096,32,32,11008,True,1,32,256,220.35,8.52,9.06,8.79,9.21,868.62
BF16,1024,512,16,4096,32,32,11008,True,1,32,256,435.43,11.25,12.33,11.79,12.61,1268.83
BF16,1024,512,32,4096,32,32,11008,True,1,32,256,865.59,16.69,18.85,17.77,19.43,1646.94
BF16,1024,512,64,4096,32,32,11008,True,1,32,256,1725.91,27.58,31.91,29.74,33.05,1936.46
BF16,1024,512,128,4096,32,32,11008,True,1,32,256,3446.56,49.36,58.01,53.68,60.3,2122.72
BF16,1024,512,256,4096,32,32,11008,True,1,32,256,6887.86,95.6,112.91,104.24,117.49,2178.91
BF16,1024,512,512,4096,32,32,11008,True,1,32,256,13770.46,189.93,224.55,207.21,233.7,2190.84
,,,,,,,,,,,,,,,,,
BF16,2048,512,1,4096,32,32,11008,True,1,32,256,66.02,6.41,6.48,6.45,6.56,152.44
BF16,2048,512,2,4096,32,32,11008,True,1,32,256,126.77,7.02,7.16,7.09,7.32,273.22
BF16,2048,512,4,4096,32,32,11008,True,1,32,256,248.28,8.24,8.52,8.38,8.85,451.98
BF16,2048,512,8,4096,32,32,11008,True,1,32,256,491.3,10.69,11.23,10.96,11.9,672.27
BF16,2048,512,16,4096,32,32,11008,True,1,32,256,977.33,15.57,16.66,16.11,17.99,889.38
BF16,2048,512,32,4096,32,32,11008,True,1,32,256,1949.39,25.35,27.51,26.43,30.18,1060.3
BF16,2048,512,64,4096,32,32,11008,True,1,32,256,3893.52,44.89,49.22,47.05,54.57,1172.81
BF16,2048,512,128,4096,32,32,11008,True,1,32,256,7781.77,83.98,92.64,88.3,103.33,1238.75
BF16,2048,512,256,4096,32,32,11008,True,1,32,256,15558.28,164.85,182.17,173.49,203.54,1257.74
BF16,2048,512,512,4096,32,32,11008,True,1,32,256,31111.3,328.43,363.06,345.71,405.8,1261.71
,,,,,,,,,,,,,,,,,
