Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(QK+SV)(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2C,BF16,1,32,32,512,512,128,4096.0,48.0,280.8,1.5,33.54,15.3,33.54,memory
IntelGaudi2C,BF16,2,32,32,512,512,128,8192.0,96.0,280.8,1.5,67.08,30.59,67.08,memory
IntelGaudi2C,BF16,4,32,32,512,512,128,16384.0,192.0,280.8,1.5,134.16,61.18,134.16,memory
IntelGaudi2C,BF16,8,32,32,512,512,128,32768.0,384.0,280.8,1.5,268.33,122.36,268.33,memory
IntelGaudi2C,BF16,16,32,32,512,512,128,65536.0,768.0,280.8,1.5,536.66,244.73,536.66,memory
IntelGaudi2C,BF16,32,32,32,512,512,128,131072.0,1536.0,280.8,1.5,1073.31,489.45,1073.31,memory
IntelGaudi2C,BF16,64,32,32,512,512,128,262144.0,3072.0,280.8,1.5,2146.62,978.91,2146.62,memory
IntelGaudi2C,BF16,128,32,32,512,512,128,524288.0,6144.0,280.8,1.5,4293.25,1957.82,4293.25,memory
IntelGaudi2C,BF16,256,32,32,512,512,128,1048576.0,12288.0,280.8,1.5,8586.5,3915.64,8586.5,memory
IntelGaudi2C,BF16,512,32,32,512,512,128,2097152.0,24576.0,280.8,1.5,17173.0,7831.28,17173.0,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,32,1024,1024,128,16384.0,160.0,280.8,1.5,111.8,61.18,111.8,memory
IntelGaudi2C,BF16,2,32,32,1024,1024,128,32768.0,320.0,280.8,1.5,223.61,122.36,223.61,memory
IntelGaudi2C,BF16,4,32,32,1024,1024,128,65536.0,640.0,280.8,1.5,447.21,244.73,447.21,memory
IntelGaudi2C,BF16,8,32,32,1024,1024,128,131072.0,1280.0,280.8,1.5,894.43,489.45,894.43,memory
IntelGaudi2C,BF16,16,32,32,1024,1024,128,262144.0,2560.0,280.8,1.5,1788.85,978.91,1788.85,memory
IntelGaudi2C,BF16,32,32,32,1024,1024,128,524288.0,5120.0,280.8,1.5,3577.71,1957.82,3577.71,memory
IntelGaudi2C,BF16,64,32,32,1024,1024,128,1048576.0,10240.0,280.8,1.5,7155.42,3915.64,7155.42,memory
IntelGaudi2C,BF16,128,32,32,1024,1024,128,2097152.0,20480.0,280.8,1.5,14310.83,7831.28,14310.83,memory
IntelGaudi2C,BF16,256,32,32,1024,1024,128,4194304.0,40960.0,280.8,1.5,28621.67,15662.56,28621.67,memory
IntelGaudi2C,BF16,512,32,32,1024,1024,128,8388608.0,81920.0,280.8,1.5,57243.33,31325.12,57243.33,memory
,,,,,,,,,,,,,,,
IntelGaudi2C,BF16,1,32,32,2048,2048,128,65536.0,576.0,280.8,1.5,402.49,244.73,402.49,memory
IntelGaudi2C,BF16,2,32,32,2048,2048,128,131072.0,1152.0,280.8,1.5,804.98,489.45,804.98,memory
IntelGaudi2C,BF16,4,32,32,2048,2048,128,262144.0,2304.0,280.8,1.5,1609.97,978.91,1609.97,memory
IntelGaudi2C,BF16,8,32,32,2048,2048,128,524288.0,4608.0,280.8,1.5,3219.94,1957.82,3219.94,memory
IntelGaudi2C,BF16,16,32,32,2048,2048,128,1048576.0,9216.0,280.8,1.5,6439.87,3915.64,6439.87,memory
IntelGaudi2C,BF16,32,32,32,2048,2048,128,2097152.0,18432.0,280.8,1.5,12879.75,7831.28,12879.75,memory
IntelGaudi2C,BF16,64,32,32,2048,2048,128,4194304.0,36864.0,280.8,1.5,25759.5,15662.56,25759.5,memory
IntelGaudi2C,BF16,128,32,32,2048,2048,128,8388608.0,73728.0,280.8,1.5,51519.0,31325.12,51519.0,memory
IntelGaudi2C,BF16,256,32,32,2048,2048,128,16777216.0,147456.0,280.8,1.5,103038.0,62650.24,103038.0,memory
IntelGaudi2C,BF16,512,32,32,2048,2048,128,33554432.0,294912.0,280.8,1.5,206076.0,125300.47,206076.0,memory
,,,,,,,,,,,,,,,
