Device,DType,BS,SeqLenQ,SeqLenKV,HiddenSize,IntermediateSize,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,512,512,4096,14336,57344.0,130.0,432.0,2.46,55.41,139.19,150.06,compute
IntelGaudi2B,BF16,2,512,512,4096,14336,114688.0,148.0,432.0,2.46,63.09,278.38,252.38,compute
IntelGaudi2B,BF16,4,512,512,4096,14336,229376.0,184.0,432.0,2.46,78.43,556.76,457.02,compute
IntelGaudi2B,BF16,8,512,512,4096,14336,458752.0,256.0,432.0,2.46,109.12,1113.51,866.31,compute
IntelGaudi2B,BF16,16,512,512,4096,14336,917504.0,400.0,432.0,2.46,170.5,2227.02,1684.87,compute
IntelGaudi2B,BF16,32,512,512,4096,14336,1835008.0,688.0,432.0,2.46,293.26,4454.04,3322.01,compute
IntelGaudi2B,BF16,64,512,512,4096,14336,3670016.0,1264.0,432.0,2.46,538.78,8908.08,6596.28,compute
IntelGaudi2B,BF16,128,512,512,4096,14336,7340032.0,2416.0,432.0,2.46,1029.82,17816.16,13144.81,compute
IntelGaudi2B,BF16,256,512,512,4096,14336,14680064.0,4720.0,432.0,2.46,2011.9,35632.32,26241.88,compute
IntelGaudi2B,BF16,512,512,512,4096,14336,29360128.0,9328.0,432.0,2.46,3976.06,71264.64,52436.02,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,1024,1024,4096,14336,114688.0,148.0,432.0,2.46,63.09,278.38,252.38,compute
IntelGaudi2B,BF16,2,1024,1024,4096,14336,229376.0,184.0,432.0,2.46,78.43,556.76,457.02,compute
IntelGaudi2B,BF16,4,1024,1024,4096,14336,458752.0,256.0,432.0,2.46,109.12,1113.51,866.31,compute
IntelGaudi2B,BF16,8,1024,1024,4096,14336,917504.0,400.0,432.0,2.46,170.5,2227.02,1684.87,compute
IntelGaudi2B,BF16,16,1024,1024,4096,14336,1835008.0,688.0,432.0,2.46,293.26,4454.04,3322.01,compute
IntelGaudi2B,BF16,32,1024,1024,4096,14336,3670016.0,1264.0,432.0,2.46,538.78,8908.08,6596.28,compute
IntelGaudi2B,BF16,64,1024,1024,4096,14336,7340032.0,2416.0,432.0,2.46,1029.82,17816.16,13144.81,compute
IntelGaudi2B,BF16,128,1024,1024,4096,14336,14680064.0,4720.0,432.0,2.46,2011.9,35632.32,26241.88,compute
IntelGaudi2B,BF16,256,1024,1024,4096,14336,29360128.0,9328.0,432.0,2.46,3976.06,71264.64,52436.02,compute
IntelGaudi2B,BF16,512,1024,1024,4096,14336,58720256.0,18544.0,432.0,2.46,7904.39,142529.29,104824.3,compute
,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,2048,2048,4096,14336,229376.0,184.0,432.0,2.46,78.43,556.76,457.02,compute
IntelGaudi2B,BF16,2,2048,2048,4096,14336,458752.0,256.0,432.0,2.46,109.12,1113.51,866.31,compute
IntelGaudi2B,BF16,4,2048,2048,4096,14336,917504.0,400.0,432.0,2.46,170.5,2227.02,1684.87,compute
IntelGaudi2B,BF16,8,2048,2048,4096,14336,1835008.0,688.0,432.0,2.46,293.26,4454.04,3322.01,compute
IntelGaudi2B,BF16,16,2048,2048,4096,14336,3670016.0,1264.0,432.0,2.46,538.78,8908.08,6596.28,compute
IntelGaudi2B,BF16,32,2048,2048,4096,14336,7340032.0,2416.0,432.0,2.46,1029.82,17816.16,13144.81,compute
IntelGaudi2B,BF16,64,2048,2048,4096,14336,14680064.0,4720.0,432.0,2.46,2011.9,35632.32,26241.88,compute
IntelGaudi2B,BF16,128,2048,2048,4096,14336,29360128.0,9328.0,432.0,2.46,3976.06,71264.64,52436.02,compute
IntelGaudi2B,BF16,256,2048,2048,4096,14336,58720256.0,18544.0,432.0,2.46,7904.39,142529.29,104824.3,compute
IntelGaudi2B,BF16,512,2048,2048,4096,14336,117440512.0,36976.0,432.0,2.46,15761.04,285058.57,209600.86,compute
,,,,,,,,,,,,,,
