Device,DType,BS,HeadsQ,HeadsKV,SeqLenQ,SeqLenKV,HeadDim,Ops(M),Size(MB),TFLOPs,BW(TB/s),Memory(us),Compute(us),ProjectLatency(us),Bound
IntelGaudi2B,BF16,1,40,40,1,768,128,7.5,7.57,3.38,2.46,3.23,2.33,3.23,memory
IntelGaudi2B,BF16,2,40,40,1,768,128,15.0,15.14,3.38,2.46,6.45,4.65,6.45,memory
IntelGaudi2B,BF16,4,40,40,1,768,128,30.0,30.27,3.38,2.46,12.9,9.31,12.9,memory
IntelGaudi2B,BF16,8,40,40,1,768,128,60.0,60.55,3.38,2.46,25.81,18.61,25.81,memory
IntelGaudi2B,BF16,16,40,40,1,768,128,120.0,121.09,3.38,2.46,51.62,37.23,51.62,memory
IntelGaudi2B,BF16,32,40,40,1,768,128,240.0,242.19,3.38,2.46,103.23,74.46,103.23,memory
IntelGaudi2B,BF16,64,40,40,1,768,128,480.0,484.38,3.38,2.46,206.47,148.91,206.47,memory
IntelGaudi2B,BF16,128,40,40,1,768,128,960.0,968.75,3.38,2.46,412.93,297.82,412.93,memory
IntelGaudi2B,BF16,256,40,40,1,768,128,1920.0,1937.5,3.38,2.46,825.86,595.64,825.86,memory
IntelGaudi2B,BF16,512,40,40,1,768,128,3840.0,3875.0,3.38,2.46,1651.72,1191.28,1651.72,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,40,40,1,1280,128,12.5,12.61,3.38,2.46,5.37,3.88,5.37,memory
IntelGaudi2B,BF16,2,40,40,1,1280,128,25.0,25.21,3.38,2.46,10.75,7.76,10.75,memory
IntelGaudi2B,BF16,4,40,40,1,1280,128,50.0,50.43,3.38,2.46,21.5,15.51,21.5,memory
IntelGaudi2B,BF16,8,40,40,1,1280,128,100.0,100.86,3.38,2.46,42.99,31.02,42.99,memory
IntelGaudi2B,BF16,16,40,40,1,1280,128,200.0,201.72,3.38,2.46,85.98,62.05,85.98,memory
IntelGaudi2B,BF16,32,40,40,1,1280,128,400.0,403.44,3.38,2.46,171.97,124.09,171.97,memory
IntelGaudi2B,BF16,64,40,40,1,1280,128,800.0,806.88,3.38,2.46,343.93,248.18,343.93,memory
IntelGaudi2B,BF16,128,40,40,1,1280,128,1600.0,1613.75,3.38,2.46,687.86,496.37,687.86,memory
IntelGaudi2B,BF16,256,40,40,1,1280,128,3200.0,3227.5,3.38,2.46,1375.72,992.73,1375.72,memory
IntelGaudi2B,BF16,512,40,40,1,1280,128,6400.0,6455.0,3.38,2.46,2751.45,1985.47,2751.45,memory
,,,,,,,,,,,,,,,
IntelGaudi2B,BF16,1,40,40,1,2304,128,22.5,22.69,3.38,2.46,9.67,6.98,9.67,memory
IntelGaudi2B,BF16,2,40,40,1,2304,128,45.0,45.37,3.38,2.46,19.34,13.96,19.34,memory
IntelGaudi2B,BF16,4,40,40,1,2304,128,90.0,90.74,3.38,2.46,38.68,27.92,38.68,memory
IntelGaudi2B,BF16,8,40,40,1,2304,128,180.0,181.48,3.38,2.46,77.36,55.84,77.36,memory
IntelGaudi2B,BF16,16,40,40,1,2304,128,360.0,362.97,3.38,2.46,154.72,111.68,154.72,memory
IntelGaudi2B,BF16,32,40,40,1,2304,128,720.0,725.94,3.38,2.46,309.43,223.37,309.43,memory
IntelGaudi2B,BF16,64,40,40,1,2304,128,1440.0,1451.88,3.38,2.46,618.86,446.73,618.86,memory
IntelGaudi2B,BF16,128,40,40,1,2304,128,2880.0,2903.75,3.38,2.46,1237.72,893.46,1237.72,memory
IntelGaudi2B,BF16,256,40,40,1,2304,128,5760.0,5807.5,3.38,2.46,2475.45,1786.92,2475.45,memory
IntelGaudi2B,BF16,512,40,40,1,2304,128,11520.0,11615.0,3.38,2.46,4950.9,3573.84,4950.9,memory
,,,,,,,,,,,,,,,
